round,stratum,raw_article_id,company_id,company,source,title,body,url,relevance_label,advertisement_label,note,decision,relevance_score
1,E_커뮤니티회수,17236,5,SSG,kakao_daum,오디세이랑 스파이더맨 중에 뭐 보러 갈까요? - 영화/TV - 에펨코리아,남자새끼들마냥 아무거나봐~ 상태라 그 아무거나를 골라야하는 상황입니다. 친구들 원래 좋아하는 영화는 신세계나 한국 느와르 영화를 좋아하는 쪽이라 저 둘 중엔 뭐 고를까 애매하더라구요. 의견들이 어떠신가여,https://www.fmkorea.com/10263674202,irrelevant,no,영화명임,accepted,0.939075
1,E_커뮤니티회수,21117,8,네이버,kakao_daum,안녕하세요. 복귀 희망유저입니다.,오래전에 했던 게임이라 다시 해볼까하고 여기에서 정보글좀 보려고 들어왔다가 정보글이 안보여서 네이버 카페를 읽다보니 신규유입이 없어서 신규서버를 하는것은 무리라고 판단하게 되었습니다. 그래서 계정을...,https://gall.dcinside.com/mgallery/board/view/?id=3kingdoms&no=368801,irrelevant,no,,accepted,0.911758
1,D_중간대역,21843,1,올리브영,kakao_daum,올리브영 중화역점,"올리브영은 최신 K-뷰티 제품을 경험할 수 있는 헬스앤뷰티 전문 스토어입니다. 스킨케어, 메이크업, 건강식품 등 다양하고 트렌디한 제품을 합리적인 가격에 판매하여, 외국인 관광객들 사이에서 특히 인기가...",http://www.tourcoupon.co.kr/view.html?contentid=2923080,relevant,no,,accepted,0.885061
1,E_커뮤니티회수,41371,5,SSG,kakao_daum,피시엑스 타면 탈수록 신세계네..,이정도였나 ㄷㄷ 지나가던 커브 발로까고 빽점놓음,https://gall.dcinside.com/mgallery/board/view/?id=deliverydriver&no=78187,irrelevant,no,,accepted,0.974862
1,C_경계,18076,9,쿠팡,kakao_daum,펩시 제로슈거 라임향,"펩시 제로슈거 라임향 14,630원 로켓 쿠팡에서 보기 가격/재고/혜택은 수시로 변동될 수 있으며, 링크 이동 시점의 정보를 기준으로 합니다.",https://icoupang.com/best_product/9611,irrelevant,yes,,review_required,0.004971
1,C_경계,37065,8,네이버,kakao_daum,[팝업] HK LUNAR 오픈 하우스,8.28(금) 단 이틀! 선착순 10팀을 초대합니다. 팝업스토어를 직접 체험하고 리뷰를 작성해 주신 분께는 네이버 2만 원의 혜택도 드립니다! Benefit 2만원 네이버페이 기프티콘 2026.08.21 ~ 2026.08.28 상시 유선...,https://s1forum.kr/trial-apply/view.php?bo_table=trial&wr_id=5,irrelevant,yes,,review_required,0.608909
1,A_확신통과,21187,1,올리브영,naver_api_hub,"[28일 인천 제물포구] 송현1·2동 지사협, 취약계층 청소년 ‘올리브영...",20명에게 ‘올리브영 기프트 카드’를 전달했다고 밝혔다. ‘우리동네 청춘 가꿈’ 전달식은 청소년들이... 이에 지역사회보장협의체는 이러한 문제점을 개선하고자 청소년들이 선호하는 브랜드 매장인 ‘올리브영’의...,https://www.asiatime.co.kr/article/20260828500186,incidental,no,,accepted,0.981582
1,B_확신거절,23746,7,카카오,kakao_daum,새로워진 아이코스 일루마 i 원 키트,"재고 및 택배사 상황에 따라 다소 지연될 수 있습니다. 4. 제품 출고 이후 배송 현황 확인을 위한 카카오 알림톡이 발송되며, 아이코스닷컴 > 주문내역에서도 배송조회가 가능합니다. 주문취소 1. 주문상태가...",https://kr.iqos.com/iluma-i-one-kit,irrelevant,no,,rejected,0.098499
1,A_확신통과,14671,8,네이버,naver_api_hub,휴온스글로벌 주가 기세등등… 자회사 톡신 제제 글로벌 승인 기대감 부...,네이버 증권. 보툴리눔톡신(보톡스) 관련주가 27일 강세를 보이고 있다. 글로벌 미용·성형 시장이 성장하는 가운데 국내 업체들의 해외 시장 진출이 확대될 것이라는 기대가 관련주에 반영된 것으로 풀이된다....,https://www.pinpointnews.co.kr/news/articleView.html?idxno=481006,irrelevant,no,,accepted,0.940414
1,C_경계,35796,6,11번가,kakao_daum,소상공인 온라인 판로지원 신청방법｜쇼핑몰 입점·라이브커머스 지원,"선택이 아닌 필수가 되었습니다. 오프라인 매장만 운영하던 사업자도 네이버 스마트스토어, 쿠팡, 11번가, G마켓, 라이브커머스 등을 활용하면서 새로운 매출을 만들고 있습니다. 하지만 상세페이지 제작, 상품...",https://dreameum.com/%EC%86%8C%EC%83%81%EA%B3%B5%EC%9D%B8-%EC%98%A8%EB%9D%BC%EC%9D%B8-%ED%8C%90%EB%A1%9C%EC%A7%80%EC%9B%90-%EC%8B%A0%EC%B2%AD%EB%B0%A9%EB%B2%95/,uncertain,no,브랜드 여론과 관계 있는지 불확실,review_required,0.604323
